id,full_name,kibbutz_name,playground_name,playground_number,site_number,Permit_number,category,subcategory,coordinate,lat,lon,link_waze,link_gmaps,equipment,equipment_number,surface,last_update_iso,status,certificate_expiry,certificate_expiry_iso,days_to_expire,kibbutz_list,,,,,,,
PG-001,"שצ""פ 2 תלתן איילת השחר",איילת השחר,תלתן,2,7972685,113702,גן ציבורי,"שצ""פ","33.0218733, 35.5770649",33.0218733,35.5770649,"https://waze.com/ul?ll=33.021873,35.577065&navigate=yes","https://www.google.com/maps?q=33.021873,35.577065","חצובה מתכת עם מושב קן לציפור מכבלים, מושבים שטוחים מגומי, נענוע קפיץ ספירלי, נענוע קפיץ ספירלי, מתקן משולב מעץ בעל 3 מתקן מס' מגדלים",6,דשא,2025-10-23,גן תקין,24/08/2026,2026-08-24,292,איילת השחר,,,,,,,
PG-002,"שצ""פ 4 הרחבה איילת השחר",איילת השחר,הרחבה,4,5845741,113702,גן ציבורי,"שצ""פ","33.0283982, 35.5751866",33.0283982,35.5751866,"https://waze.com/ul?ll=33.028398,35.575187&navigate=yes","https://www.google.com/maps?q=33.028398,35.575187"," קורת שיווי משקל, מתקן עלה ורד, חצובה T מתכת עם מושבים שטוח ועריסה מגומי, מתקן נענוע קפיץ ספירלי, מתקן נענוע קפיץ ספירלי, מתקן משולב ממתכת בעל 3 ממגדלים",8,חצץ,2025-10-23,גן תקין,24/08/2025,2025-08-24,-73,ברעם,,,,,,,
PG-003,"בי""ס 57 מבוא גליל איילת השחר",איילת השחר,מבוא גליל,57,5881461,113701,מבנה חינוך,בית ספר,"33.023137, 35.5729036",33.023137,35.5729036,"https://waze.com/ul?ll=33.023137,35.572904&navigate=yes","https://www.google.com/maps?q=33.023137,35.572904","משולב אקסטרים, משולב, פטריות שווי משקל ",3,דשא,2025-10-23,גן תקין,09/06/2026,2026-06-09,216,גדות,,,,,,,
PG-004,"שצ""פ 64 הרחבה 2 איילת השחר",איילת השחר,הרחבה 2,64,2678694,113702,גן ציבורי,"שצ""פ","33.0262209, 35.5767179",33.0262209,35.5767179,"https://waze.com/ul?ll=33.026221,35.576718&navigate=yes","https://www.google.com/maps?q=33.026221,35.576718","אחר חצובה מתכת עם מושב קן לציפור מכבלים,ומושבים שטוח ועריסה מגומי , מתקן מתח, מתקן מקבילים, מתקן קרוסלה לפעוטות, מתקן נענוע דמוי פרח, מתקן קרוסלה עגולה, מתקן קורת נענוע, מתקן משולב ממתכת בעל 3 מגדלים ",10,דשא,2025-10-23,גן תקין,24/08/2025,2025-08-24,-73,גונן,,,,,,,
PG-005,"שצ""פ 74 הטיל ברעם",ברעם,הטיל,74,1857560,113702,גן ציבורי,"שצ""פ","33.0600243, 35.4325525",33.0600243,35.4325525,"https://waze.com/ul?ll=33.060024,35.432553&navigate=yes","https://www.google.com/maps?q=33.060024,35.432553","מתקן חצובת נדנדה עם מושבי עריסה מגומי , מתקן עלה ורד קפיצים ",4,גומי,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,דן ,,,,,,,
PG-006,"שצ""פ 75 הספינה ברעם",ברעם,הספינה,75,3746490,113702,גן ציבורי,"שצ""פ","33.0601494, 35.4316226",33.0601494,35.4316226,"https://waze.com/ul?ll=33.060149,35.431623&navigate=yes","https://www.google.com/maps?q=33.060149,35.431623"," מתקן משולב ממתכת בעל מגדל אחד , אחר מתקן נענוע קפיצים סירה, מתקן עלה ורד קפיצים , אחר מתקן טיפוס מכבלים",6,גומי,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,דפנה ,,,,,,,
PG-007,"שצ""פ 79 חומות ברעם",ברעם,חומות,79,1972916,113702,גן ציבורי,"שצ""פ","33.0577396, 35.433465",33.0577396,35.433465,"https://waze.com/ul?ll=33.057740,35.433465&navigate=yes","https://www.google.com/maps?q=33.057740,35.433465",מתקן משולב מעץ בעל 3 מגדלים ,3,חול,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,הגושרים ,,,,,,,
PG-008,"שצ""פ 8 הרפתקאות ברעם",ברעם,הרפתקאות,8,5628603,113702,גן ציבורי,"שצ""פ","33.060221, 35.4310132",33.060221,35.4310132,"https://waze.com/ul?ll=33.060221,35.431013&navigate=yes","https://www.google.com/maps?q=33.060221,35.431013","אחר חצובת נדנדות עם 2 מושבים שטוחים מגומי ומושב עריסה מגומי, מתקן קרוסלה עגולה, מתקן נענוע קפיץ ספירלי, מתקן משולב ממתכת בעל 2 מגדלים, מתקן קרוסלה לפעוטות, מתקן חצובת נדנדה עם מושב קן לציפור, מתקן נענוע קפיץ ספירלי ""חתול"", מתקן נענוע קפיץ ספירלי ",12,"דשא, חצץ",2025-10-26,גן תקין,25/08/2025,2025-08-25,-72,חולתה ,,,,,,,
PG-009,"שצ""פ 18 הרחבה ברעם",ברעם,הרחבה,18,0391025,113702,גן ציבורי,"שצ""פ","33.055556, 35.4359268",33.055556,35.4359268,"https://waze.com/ul?ll=33.055556,35.435927&navigate=yes","https://www.google.com/maps?q=33.055556,35.435927","מתקן משולב ממתכת בעל מגדל אחד, מתקן מעבר עם מדרכים מגומי עם כבלים עזר , מתקן עלה ורד עמידה , מתקן גלגל - רץ",6,חול,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,יפתח ,,,,,,,
PG-010,"שצ""פ 9 מרכולית גדות",גדות,מרכולית,9,6028431,113702,גן ציבורי,"שצ""פ","33.0192756, 35.6185176",33.0192756,35.6185176,"https://waze.com/ul?ll=33.019276,35.618518&navigate=yes","https://www.google.com/maps?q=33.019276,35.618518","מתקן קרוסלה כבלים עם 2 מושבי גומי, נענוע קפיצים פלסטיק בצורת גלשן, נענוע קפיצים פלסטיק בצורת גלשן, מתקן משולב מעץ בעל 2 מגדלים, מתקן נענוע קפיץ ספירלי, קורת שיווי משקל, מתקן משולב מעץ בעל 3 מגדלים, חצובה מתכת עם מושב קן לציפור מכבלים, ומושבים שטוח ועריסה מגומי",10,דשא,2025-10-23,גן תקין,29/12/2025,2025-12-29,54,יראון  ,,,,,,,
PG-011,"שצ""פ 10 בתי ילדים גונן",גונן,בתי ילדים,10,9288230,113702,גן ציבורי,"שצ""פ","33.1238775, 35.6474398",33.1238775,35.6474398,"https://waze.com/ul?ll=33.123878,35.647440&navigate=yes","https://www.google.com/maps?q=33.123878,35.647440","אחר חצובה מתכת עם מושבים שטוחים מגומי, מתקן משולב ממתכת בעל 2 מגדלים, מתקן משולב ממתכת בעל 2 מגדלים, מתקן נענוע קפיץ ספירלי, חצובה מתכת עם מושב קן לציפור מכבלים ומושב שטוח מגומי",7,"דשא, חצץ",2025-10-23,גן תקין,29/12/2025,2025-12-29,54,כפר בלום ,,,,,,,
