id,full_name,address_he,kibbutz_name,category,recycle_bins,coordinate,lat,lon,link_waze,link_gmaps,last_update
RC-001,מרכז מחזור - איילת השחר,חנייה מול הכלבו,איילת השחר,מרכזי מחזור,"פח זכוכית, פח טקסטיל, פח ירוק, פח חום, פח כתום, פח עיתון, מתקן אלקטרוניקה","33°01'16.2""N 35°34'37.5""E",33.02116667,35.57708333,"https://waze.com/ul?ll=33.021167,35.577083&navigate=yes","https://www.google.com/maps?q=33.021167,35.577083",26/11/2025
RC-002,מרכז מחזור - ברעם,חנייה אחורית של חדר האוכל,ברעם,מרכזי מחזור,"פח ירוק, פח כתום","33°03'35.4""N 35°26'01.6""E",33.05983333,35.43377778,"https://waze.com/ul?ll=33.059833,35.433778&navigate=yes","https://www.google.com/maps?q=33.059833,35.433778",26/11/2025
RC-003,מרכז מחזור - גדות,שביל גישה באיזור הכלבו,גדות,מרכזי מחזור,"מתקן אלקטרוניקה, סוללות","33°01'10.2""N 35°37'02.4""E",33.0195,35.61733333,"https://waze.com/ul?ll=33.019500,35.617333&navigate=yes","https://www.google.com/maps?q=33.019500,35.617333",26/11/2025
RC-004,מרכז מחזור - גונן,חנייה אחורית של הכלבו,גונן,מרכזי מחזור,"קרטוניה, פח עיתון כחול, קרטוניה, מיכל טקסטיל, זכוכית, פח חום, פח כתום, פח ירוק","33°07'23.9""N 35°38'48.3""E",33.12330556,35.64675,"https://waze.com/ul?ll=33.123306,35.646750&navigate=yes","https://www.google.com/maps?q=33.123306,35.646750",26/11/2025
RC-005,מרכז מחזור - דן,בין תחנת הדלק למפעל,דן ,מרכזי מחזור,"קרטוניה, פסולת גושית, אלקטרוניקה","33°14'15.5""N 35°39'16.2""E",33.23763889,35.6545,"https://waze.com/ul?ll=33.237639,35.654500&navigate=yes","https://www.google.com/maps?q=33.237639,35.654500",26/11/2025
RC-006,מרכז מחזור - דפנה,"מרכז הקיבוץ, ליד התחנת אוטובוס",דפנה ,מרכזי מחזור,"קרטוניה, עיתון, זכוכית, אלקטרוניקה, פח ירוק, פח חום, פח כתום, טקסטיל","33°13'47.8""N 35°38'22.2""E",33.22994444,35.6395,"https://waze.com/ul?ll=33.229944,35.639500&navigate=yes","https://www.google.com/maps?q=33.229944,35.639500",26/11/2025
RC-007,מרכז מחזור - דפנה,"ביציאה מהקיבוץ דרך המערכת לכיוון מזרח, ליד הרפת",דפנה ,מרכזי מחזור,"גזם, אלקטרונית, גושית, בניין","33°13'58.0""N 35°38'35.0""E",33.23277778,35.64305556,"https://waze.com/ul?ll=33.232778,35.643056&navigate=yes","https://www.google.com/maps?q=33.232778,35.643056",26/11/2025
RC-008,מרכז מחזור - הגושרים,רמפת פסולת,הגושרים ,מרכזי מחזור,"גזם, אלקטרונית, גושית","33°12'58.7""N 35°37'32.4""E",33.21630556,35.62566667,"https://waze.com/ul?ll=33.216306,35.625667&navigate=yes","https://www.google.com/maps?q=33.216306,35.625667",26/11/2025
RC-009,מרכז מחזור - הגושרים,"מרכז הקיבוץ, בחנייה של המזכירות",הגושרים ,מרכזי מחזור,"קרטוניה, עיתון, זכוכית, אלקטרוניקה, פח ירוק, פח חום, פח כתום, טקסטיל","33°13'13.9""N 35°37'24.6""E",33.22052778,35.6235,"https://waze.com/ul?ll=33.220528,35.623500&navigate=yes","https://www.google.com/maps?q=33.220528,35.623500",26/11/2025
RC-010,מרכז מחזור - חולתה,ליד חוות התבלינים,חולתה ,מרכזי מחזור,"קרטוניה, עיתון, זכוכית, אלקטרוניקה, פח ירוק, פח חום, פח כתום, טקסטיל","33°03'09.8""N 35°36'44.5""E",33.05272222,35.61236111,"https://waze.com/ul?ll=33.052722,35.612361&navigate=yes","https://www.google.com/maps?q=33.052722,35.612361",26/11/2025
RC-011,מרכז מחזור - יפתח,"ליד הכלבו, צמוד למכונת מחזור בקבוקים",יפתח ,מרכזי מחזור,"עיתון, קרטוניה","33°07'47.2""N 35°33'07.2""E",33.12977778,35.552,"https://waze.com/ul?ll=33.129778,35.552000&navigate=yes","https://www.google.com/maps?q=33.129778,35.552000",26/11/2025
RC-012,מרכז מחזור - יראון,איזור תעשייה,יראון  ,מרכזי מחזור,"עיתון, קרטוניהים, קטסטיל, אלקטרוניקה, גושית, זכוכית, בניין, ברזל","33°04'28.9""N 35°27'07.1""E",33.07469444,35.45197222,"https://waze.com/ul?ll=33.074694,35.451972&navigate=yes","https://www.google.com/maps?q=33.074694,35.451972",26/11/2025
RC-013,מרכז מחזור - כפר בלום,חנייה אחורית של המרכולית,כפר בלום ,מרכזי מחזור,"עיתון, קרטוניה, אלקטרוניקה, זכוכית, טקסטיל,  פח ירוק, פח כתום, פח חום","33°10'18.6""N 35°36'31.7""E",33.17183333,35.60880556,"https://waze.com/ul?ll=33.171833,35.608806&navigate=yes","https://www.google.com/maps?q=33.171833,35.608806",26/11/2025
